,Job Name,Company Name,City Name,Payment,Payment Rate,Begin Date,End Date,Job Order,Telephone,Email,Web,Full Time,Workers Needed,Job Duties,Experience Required,Experience Months,Special Requirements,Hours Per Week,Schedule
0,Housekeepers,Fireside Resort Inc,"Wilson, WY",$14.28,hour,11/30/2022,3/31/2023,View Job Order,,lindsay@firesidejacksonhole.com,www.wyomingatwork.com/,Yes,5,Clean guest rooms; make beds; clean/disinfect bathrooms; wash windows/walls; stock rooms; sort/wash/fold/stack linens. Entry level; requires supervision.,No,,"Must lift/carry 50 lbs. when necessary and frequently work on hands and knees. Work schedule is 5 days/week with  work days varying by week to include Saturday and Sunday.
",40,8:00 A.M. - 4:30 P.M.
1,"Manufacturing Laborer, Line","Ashley Furniture Industries, LLC","Arcadia, WI",$19.84-$22.84,hour,11/1/2022,3/31/2023,View Job Order,+16088635999,,ashleyfurnitureindustriesllc.com,Yes,98,"[Duties]: Operate machinery used in the production process, performing cushion/blow fill work, router work, and assembly. Insert fiber/foam into upholstered parts using operating machine or by hand. Hand regulate fiber/foam into upholstered filled parts. Measure weights of filled items to ensure conformance to specifications. Zip or staple upholstered parts closed after filling. Set up, operate, and maintain router. Follow OSHA and company safety protocols including lockout/tagout procedures. Load and position router fixture onto router table. Position and align parts on router table jig. Load, offload, and stack parts onto pallet or cart. Make minor modifications to computerized router programs. Inspect parts in accordance with parts checking procedure using calipers, tape measure, templates, and gauges, ensuring that part dimensions match drawings. Operate T-nut machine and table vacuum. Inspect parts and assembled units to touch up and repair defects. Set up and properly utilize jigs to assemble component parts. Identify jig or hand tool malfunctions and repair if possible or report issue to supervisor. Record production information using scanner, computer, or by hand. Operate various hand tools/assembly machines to assemble parts into completed unit.

[Requirements]: Must be able to work weekends. Must be able to lift up to 50lbs.

[Terms & Conditions of Employment]: Fulltime - at least 40 hours per week. Monday - Thursday, 5:00PM - 3:00AM (4 days a week, 10 hours a day; hours may vary; may be required to work weekends).

Paid weekly, wages calculated each workweek. Workers will be paid no less than $19.84 per hour. Returning workers and workers with more experience may be paid higher wage rates (ranging from $19.84 to $22.84 per hour). Overtime will be paid at 1.5 times worker’s regular hourly pay ($29.76 to $34.26 per hour). Employer will make all deductions from the worker's paycheck as required by law.

Incentive offered after 12 week training period, based on piece per hour above target (% above target becomes multiplier to base rate of pay).

On-the-job training provided. The employer will provide workers at no charge all tools, supplies, and equipment required to perform the job.

[Lodging, Daily Transport, Deductions, Benefits]: Optional employee housing available on a first-come, first-serve basis. Cost of approximately $150/week (reasonable cost) deducted from paycheck. Lodging damage deposit ($10/week) deducted from paycheck, refundable at end of contract if room is damage-free.

Daily transportation to/from worksite provided if worker lives at company housing site.

Benefits available after 90 days of employment include health, vision, dental, and holiday/vacation pay.

[Inbound/Outbound Transportation]: If the worker completes 50% of the work contract period, employer will reimburse the worker for transportation and subsistence from the place of recruitment to the place of work. Reimbursement will be included in first paycheck following 50% completion.

Upon completion of the work contract or where the worker is dismissed earlier, employer will provide or pay for worker's reasonable costs of return transportation and subsistence back home or to the place the worker originally departed to work, except where the worker will not return due to subsequent employment with another employer. The amount of transportation payment or reimbursement will be equal to the most economical and reasonable common carrier for the distances involved. Subsistence will be at least $14.00 per day of travel to a maximum of $59.00 per day with documentation of actual expenses. Employer will provide or pay the reasonable costs for lodging where lodging is necessary.

Employer will reimburse worker in the first workweek for all visa, visa processing, border crossing, and other related fees, including those mandated by the government, incurred by the worker.

***For full text of F.a.4 please see uploaded ""F.a.4 Job Duties"" document.***",No,,"Must be able to work weekends. Must be able to lift up to 50lbs.
",40,5:00 P.M. - 3:00 A.M.
2,"Manufacturing Laborer, Line","Ashley Furniture Industries, LLC","Mesquite, TX",$15.14-$18.14,hour,11/1/2022,3/31/2023,View Job Order,+16088635999,,ashleyfurnitureindustriesllc.com,Yes,100,"[Duties]: Operate machinery used in the production process, performing cushion/blow fill work, router work, and assembly. Insert fiber/foam into upholstered parts using operating machine or by hand. Hand regulate fiber/foam into upholstered filled parts. Measure weights of filled items to ensure conformance to specifications. Zip or staple upholstered parts closed after filling. Set up, operate, and maintain router. Follow OSHA and company safety protocols including lockout/tagout procedures. Load and position router fixture onto router table. Position and align parts on router table jig. Load, offload, and stack parts onto pallet or cart. Make minor modifications to computerized router programs. Inspect parts in accordance with parts checking procedure using calipers, tape measure, templates, and gauges, ensuring that part dimensions match drawings. Operate T-nut machine and table vacuum. Inspect parts and assembled units to touch up and repair defects. Set up and properly utilize jigs to assemble component parts. Identify jig or hand tool malfunctions and repair if possible or report issue to supervisor. Record production information using scanner, computer, or by hand. Operate various hand tools/assembly machines to assemble parts into completed unit.

[Requirements]: Must be able to work weekends. Must be able to lift up to 50lbs.

[Terms & Conditions of Employment]: Fulltime - at least 40 hours per week. Monday - Thursday, 5:00PM - 3:00AM (4 days a week, 10 hours a day; hours may vary; may be required to work weekends).

Paid weekly, wages calculated each workweek. Workers will be paid no less than $15.14 per hour. Returning workers and workers with more experience may be paid higher wage rates (ranging from $15.14 to $18.14 per hour). Overtime will be paid at 1.5 times worker’s regular hourly pay ($22.71 to $27.21 per hour). Employer will make all deductions from the worker's paycheck as required by law.

Incentive offered after 12 week training period, based on piece per hour above target (% above target becomes multiplier to base rate of pay).

On-the-job training provided. The employer will provide workers at no charge all tools, supplies, and equipment required to perform the job.

[Lodging, Daily Transport, Deductions, Benefits]: Optional employee housing available on a first-come, first-serve basis. Cost of approximately $150/week (reasonable cost) deducted from paycheck. Lodging damage deposit ($10/week) deducted from paycheck, refundable at end of contract if room is damage-free.

Daily transportation to/from worksite provided if worker lives at company housing site.

Benefits available after 90 days of employment include health, vision, dental, and holiday/vacation pay.

[Inbound/Outbound Transportation]: If the worker completes 50% of the work contract period, employer will reimburse the worker for transportation and subsistence from the place of recruitment to the place of work. Reimbursement will be included in first paycheck following 50% completion.

Upon completion of the work contract or where the worker is dismissed earlier, employer will provide or pay for worker's reasonable costs of return transportation and subsistence back home or to the place the worker originally departed to work, except where the worker will not return due to subsequent employment with another employer. The amount of transportation payment or reimbursement will be equal to the most economical and reasonable common carrier for the distances involved. Subsistence will be at least $14.00 per day of travel to a maximum of $59.00 per day with documentation of actual expenses. Employer will provide or pay the reasonable costs for lodging where lodging is necessary.

Employer will reimburse worker in the first workweek for all visa, visa processing, border crossing, and other related fees, including those mandated by the government, incurred by the worker.

***For full text of F.a.4 please see uploaded ""F.a.4. Job Duties"" document.***",No,,"Must be able to work weekends. Must be able to lift up to 50lbs.
",40,5:00 P.M. - 3:00 A.M.
3,Construction Laborer,Pinnacle Construction and Development,"Jackson, WY",$19.22,hour,11/6/2022,4/1/2023,View Job Order,,bdc5057@gmail.com,www.wyomingatwork.com/,Yes,30,"Keep residential building sites clear of snow using shovels (primarily).  When not removing snow, clean/prepare constructions sites to eliminate obstacles/hazards.  May clean work areas and equipment, control traffic around work zones, load and unload equipment/materials/supplies. May assist other workers in lifting, carrying, and holding tools and equipment.  Remove, fill or compact and level earth to grade specifications. Entry level; requires supervision.",No,,"Must lift/carry 50 lbs., when necessary.  Saturday and Sunday work required, when necessary.
",40,6:00 A.M. - 2:30 P.M.
4,Agricultural Mechanic I,AUTOMATED HARVESTING LLC,"Yuma, AZ",$21.49,hour,11/8/2022,4/30/2023,View Job Order,+18312614383,krodriguez@automatedharvesting.com,,Yes,5,"In connection with employer's farming operations, Perform work on farm equipment including maintenance and repair of mechanical equipment.
Pipe fitting, welding, machining, repairing, or modification of farm equipment and some electrical equipment.
Repair or replace defective farm equipment parts and reassemble equipment.
Perform routine, preventive maintenance
Inspect drives, motors, belts, fluid levels, replace filters, or perform other maintenance actions.
Adjust, maintain, repair or overhaul equipment, such as: tractors, harvesters, trailers, field and shop machinery, and vehicles.
Disassemble equipment for maintenance or repair.
Clean and lubricate parts.
Service vehicles to maintain functionality.
Adjust equipment to ensure optimal performance.
Complete work orders and all recordkeeping required by Maintenance Department Manager .
Work Schedule – The drivers will work staggering shifts of 7 hours a day Monday through Friday, and may work on Saturday. The shift schedules vary in start time and end time. The work schedules have a start time of 5:00a.m.-7:00 a.m. and an end of time 1:00-5:00 p.m. or 3 -7:00 p.m. (depending on start time). Training: Training will be provided for 2 days from each worker’s initial date of employment. The employer will provide on-the-job training in the proper use and maintenance of tools, supplies, or equipment required in the performance of work.",Yes,12,"12 months experience performing maintenance and repair on mechanical equipment.
Knowledge of common hand and power tools, such as hammers, saws, drills, and wrenches.
Knowledge of farm machines and tools, including their designs, uses, repair, and maintenance.

",35,5:00 A.M. - 1:00 P.M.
5,Wind Turbine Service Technician,COTECH IRM SERVICES INC.,"HOUSTON, TX",$27.52,hour,11/9/2022,7/1/2023,View Job Order,+12815505540,,https://www.twc.texas.gov,Yes,40,"Conducting inspection and corrective repair of composite wind turbine generator components. Also responsible for internal and external inspection and repair of blades and other composite components. Will carry out other tasks such as conducting maintenance of equipment, clean and organize tools, and work areas. Document all work performed and ensure appropriate follow-up measures are taken.",Yes,12,,40,8:00 A.M. - 5:00 P.M.
6,Housekeeping Supervisor,Waterloo Hospitality INC,"Clearwater, FL",$20.27-$20.30,hour,11/11/2022,8/11/2023,View Job Order,+17864929774,h2bhires@gmail.com,,Yes,2,"Directly supervise and coordinate work activities of cleaning personnel/housekeepers in hotels and resorts. 

Will also be required to perform light housekeeping and cleaning such as clean hotel/resort guest rooms, condos, cottages, villas and public. This includes dusting, sweeping, moping & vacuuming, making beds & replenish linens. Clean bathroom & kitchen, emptying trash, cleaning hallways and public areas.",Yes,12,"Ability to coordinate activities of junior housekeeping staff
Ability to coordinate paperwork
Ability to guide and perform disciplinary actions as needed

Must lift/carry 50 lbs., when necessary.  Work schedule is at least 5 days/week with shifts varying by day and work days varying by week to include Saturday and Sunday. Rotating day and evening shifts may be offered. Must be available to work any shift: 8:00am - 4:00pm; 4:00pm - 10:00pm and 11pm - 7am (when needed)

Overtime if available occurs after/over 40hrs/WK.",49,8:00 A.M. - 4:00 P.M.
7,Snow Shoveler,Aeroscape Park City LLC,"Midvale, UT",$13.94-$19.00,hour,11/15/2022,3/31/2023,View Job Order,+18015692383,elena@aeroscapeutah.com,,Yes,61,Remove accumulated deposits of snow on an ongoing basis in extreme weather conditions on various commercial properties using snow blowers and standard commercial snow shovels.  Ice remediation and salt application.  Loading and unloading of materials and equipment with lifting requirement up to 50 pounds.  Work performed on local area jobsites with employer provided transportation to and from the jobsites from a centralized pickup location in the specified area of employment.,No,,,40,8:00 A.M. - 5:00 P.M.
8,Housekeeping Supervisor,Waterloo Hospitality INC,"Cherokee, FL",$19.74-$19.75,hour,11/15/2022,8/11/2023,View Job Order,+17869429774,h2bhires@gmail.com,,Yes,3,"•	Supervise work of housekeepers
•	Ability to coordinate/inspect activities of junior housekeeping staff & Manage diverse group of people
•	Ability to coordinate paperwork from employees as needed
•	Ability to guide and perform disciplinary actions as needed
•	Liaise as middle person between hotel and staff
•	Clean hotel/resort guest rooms, condos, cottages, villas including dusting sweeping, moping, and vacuuming
•	Make beds and replenish linens and do laundry
•	Clean bathroom and dishes in kitchen, emptying trash, cleaning hallways and public area
•	Clean dishes, kitchen, food preparation equipment & Utensils
and vacuuming
Make beds and replenish linens and do laundry
Clean bathroom and dishes in kitchen, emptying trash, cleaning hallways and public area
Clean dishes, kitchen, food preparation equipment & Utensils",Yes,12,"	Work schedule is at least 5 days/week with shifts varying by day and work days varying by week to include Saturday and Sunday. Weekends and Holidays required. Rotating day and evening shifts may be offered. Must be available to work any shift: 8:00am - 4:00pm; 4:00pm - 10:00pm and 11pm - 7am (when needed)
	Overtime if available occurs after/over 40 hrs/WK.
	Minimum 12-month hotel/resort housekeeping experience required
	Rotate/split shifts
	Supplies, work tools and equipment are provided free
	Must lift/carry 50 lbs., when necessary.  
",35,8:00 A.M. - 4:00 P.M.
9,Snow Removal Laborer,"Mirage Landscaping, LLC.","Spanish Fork, UT",$17.21,hour,12/1/2022,3/31/2023,View Job Order,+18017358357,pitchfordb23@gmail.com,,Yes,4,"Shovel and/or plow snow from walks, driveways and/or parking lots and spread salt in those areas. Perform commercial and residential snow/ice maintenance including winter storm cleanup, trash/debris pickup, and snow/ice removal. Place salt and/or icemelt on icy surfaces as directed by manager. Clean and perform routine maintenance and/or minor repairs on equipment and tools when not in use. Use hand tools and equipment such as ice picks, shovels, and blowers. Operate power equipment, plows, bobcats, bobcats with blowers, walk behind snow blowers. Prepare equipment and materials for upcoming storms. Clean up and prepare properties after snowstorms. Potential for fall and spring clean-up.",No,,"Must be 18 due to equipment use. Must show proof of legal authorization to work in the United States. Drug/alcohol/tobacco free work zone. Perform physical activities such as: lift, balance, walk, stoop, handle, position, move, push, pull, carry objects up to 50lbs (possible 2-person). All applicants must be able, willing, qualified to perform work described and must be available for the entire period specified and work throughout all areas of intended employment. Outdoors, exposed to weather; must be capable of doing physically strenuous labor for long hours, occasionally in extreme cold. Variable weather conditions apply; hours may fluctuate (+/-), possible downtime and /or overtime. 
",35,8:00 A.M. - 3:30 P.M.
