,Job Name,Company Name,City Name,Payment Rate,Begin Date,End Date,Telephone,Email,Web,Full Time,Workers Needed,Job Duties,Experience Required,Experience Months,Special Requirements,Hours Per Week,Schedule
0,Nursery/ Greenhouse Worker,Banotai Greenhouse,"Belleville, MI",$15.37 per hour,8/29/2022,12/17/2022,+17344822764,banotaigreenhousesales@gmail.com,,Yes,9,"Workers will fill pots and baskets with soil using hand or garden tools or by a machine.  Water, plant, package, load and unload products from a truck or rack inside or outside of greenhouses near loading dock. Assemble and load on rack and truck fall décor mini straw bales. Pick up driplines and tarps to store in building. Clean-up trash and maintain a clean facility inside and outside greenhouses. Cut grass with hand tools or mower and pull for weeds around greenhouse facility. 
Will use hand pruning tools to trim evergreen boughs or use machine (will train) to assemble evergreens into pots, hanging baskets, wreaths, kissing balls, memorial blankets, and evergreen roping. Tape Styrofoam to boards, topiary stands and kissing balls and assemble lights on evergreen pots. Load and unload evergreen boughs and products on rack and truck. 
Driver's license preferred for local market deliveries.  Forklift experience preferred but will train.  Workers must be able to lift up to 50 lbs., will frequently bend, stoop, and stand for long periods. Workers will be exposed to extensive pushing, pulling, walking and repetitive movements. Must have 3 months verifiable work experience in a wholesale/commercial greenhouse or in nursery production.",Yes,3,"Hours listed in Section A.6 are the anticipated hours to be worked. These hours could increase or decrease based on weather conditions, crop delay, pests or disease, crop yield, available labor, and or productivity.",35,7:00 A.M. - 3:00 P.M.
1,"Farm Workers and Laborers, Crop",Micah Lester,"Gracey, KY",$13.89 per hour,8/29/2022,12/17/2022,+12708390450,,https://focuscareer.ky.gov/careerexplorer/jobsearch/searchjobpostings,Yes,1,"Planting, Cultivating, & Harvesting Row Crop:
Duties to include, but not limited to: Workers may drive and operate farm machinery to plant, 
cultivate, harvest and store grain crops such as corn, wheat, soybeans, etc.  Attach farm 
implements such as plow, disc, and drill to tractor and drive tractor in field to till soil and 
plant / cultivate crop.  Perform variety of other duties such as husking and shelling corn, tending 
to grain system and dryer, lubricating and repairing farm machinery and unloading grain onto 
conveyors to storage bins and elevators.  Assist in set-up of product for sale of crop.

Alternative Work;
General farm maintenance and other duties as required in the farming operation maintenance. 
Includes, but not limited to, preparing barns, draining fields, preparing land for planting, 
maintenance of tools & equipment, and other work as directly related to the crop activities for 
which the worker is hired. Also includes fixing, clearing, and painting of fences / barns. Such 
work will be offered when climate or crop conditions preclude working in the primary activities 
listed above.

General Conditions:
A normal work week is Monday through Friday from 08:00 a.m. to 04:00 p.m and Saturday 07:00 a.m. to  12:00 p.m.  If work is available beyond normal workdays, employer may offer, but not require, worker an opportunity to work additional hours.  Workers will report to work at designated time and place as directed by assigned employer each day.  However, workers may be requested to ten (10) hours per day depending on the conditions in the fields and the maturity of the crops.  Also, workers may be requested to work on federal holidays and their Sabbath but will not be required to do so.  Workers may volunteer to work additional hours when work is available. Down time:  Workers should expect occasional periods of little or no work because of weather, crop or other conditions beyond the employers control.  These periods can occur any time throughout the season.  Worker may be required to work in fields when crops are wet with dew / rain and should have suitable clothing for conditions which include light rain and temperatures ranging from 10 degrees to more than 100 degrees.  Workers should be able to stand, bend, stoop and work for prolonged periods of time and be physically fit to perform duties as assigned.  Workers will be trained for period  of two (2) days (14 hours) after which workers will be expected to perform job required.  Care must be exercised at all times to prevent bruising or breaking crops. Care must also be exercised with any use of equipment.",No,,"Physically able to bend, stoop, and able to stand on feet for long periods of time. Physically able to meet and perform all job specifications. May be required to take random drug and / or alcohol tests, at no cost to the worker.  Testing positive or failure to comply may result in immediate termination from employment.  All testing and background check will occur after employment has started and is not a part of the interview process.  May be required to submit a criminal background check, at no cost to the worker.  Felony convictions that employer reasonably believes, consistent with current law, will impair the safety and living conditions of other workers or other individuals on the farm will result in immediate termination.  Failure to comply with request for criminal background check may result in immediate termination of employment.",40,8:00 A.M. - 4:00 P.M.
2,Farmworkers and Laborers,EB Harvesting LLC - NC #4,"Bailey, NC",$14.16 per hour,8/29/2022,11/20/2022,+18639904834,,https://www.ncworks.gov/vosnet/Default.aspx,Yes,65,"Workers will perform assigned duties as instructed by their supervisor.  Duties may vary from time to time.  If operating a company vehicle during the period of employment the driver must possess a valid United States issued driver’s license issued or foreign equivalent license to operate the company vehicle to be in accordance with license restrictions and vehicle classification applicable to that license.  

Following the Supervisors instructions, the worker will perform the following task.  This job requires a minimum of one month of prior experience working on a vegetable crop farm handling both manual and machine tasks associated with commodity productions and harvest activities.  Workers will engage in cultivating and sorting/packing sweet potatoes. Tasks include harvesting/maintaining tobacco, various vegetables, weeding sweet potato fields during harvest either by hand or with a hoe. Workers will sort potatoes, standing beside a moving conveyor belt and removing the damaged sweet potatoes and foreign materials from the good sweet potatoes by hand. Workers will keep the line in clean working condition by shoveling dirt and other debris from under/around conveyor belts/apparatus. Workers will clean and sanitize bins. Work is to be done for long periods of time. Workers will assist in loading trucks with product weighing up to and including 75 pounds and lifting to a height of 5 feet for long periods of time. Workers should be able to work on their feet in bent positions for long periods of time. Work requires repetitive movements and extensive walking. Allergies to ragweed, goldenrod, insect spray, related chemicals, etc. may affect workers’ ability to perform the job. Workers are exposed to wet weather early in the morning through the heat of the day, working in fields. Temperatures may range from 10 to 100 F. Workers may be required to work during occasional showers not severe enough to stop field operations. Workers should be physically able to do the work required with or without reasonable accommodations. 

Sweet Potato/Vegetable/Grain Harvesting: Workers will transplant, pull weeds, and harvest crops in the fields as instructed. Transplanting crops into the soil by hand and machine. Pulling weeds by hand in the fields. The worker will pick the crops up by hand into buckets. These buckets will be carried to a truck in the field with empty bin boxes. 

Planting:  Workers will place plants in pre-dug holes, fixing dirt around the plants, walking the rows, loading and unloading plants in trucks, placing, boxes in plant setter and sitting the plant setter to plant. 

Tobacco Harvesting: Harvest tobacco by hand (workers will pull 3 or 4 leaves at a time from each plant and put it in a trailer.) Once it reaches the barn, the worker will place the tobacco in boxes to prepare for the heating process. After the curing process the worker will remove the tobacco and bale it by filling a metal container to desired weight that will compact the leaves together into bales. 

Bucket Unloading: Worker will be standing inside the plastic or wood boxes and receiving full buckets of sweet potatoes from the other workers that harvesting and unloading buckets full of sweet potatoes into the plastic or wood boxes. Workers are required to lift and carry at least 35 pounds.

Soybean/Wheat Field Weeding: Workers will walk through the soybean fields and pull weeds.

Ticketer: The worker will hand out tickets to the hand harvesters when a full bucket is brought to the truck. The worker will unload a full bucket into bins and drive the farm trucks to haul tools/material, plants, vegetables, shovels, boxes, etc. to the packinghouse located on the farm.
",Yes,1,"Drug/Alcohol Testing: EB Harvesting may conduct a drug test post-employment at the employer's expense. Per the Department of Labor O-Net survey for Job Zone 1, SVP <4.0, the employer requires 1 month verifiable harvesting experience.  Applicants must be able to furnish job references establishing acceptable prior experience or a notarized statement describing specific prior experience.  Successful applicants will be subject to a trial period of three days during which their performance of required task will be evaluated. If the performance during the trial period is not acceptable to the employer reserves the right to terminate employment. ",36,7:00 A.M. - 2:00 P.M.
3,Farmworkers and Laborers,Arlene Resource Management LLC,"Allendale, MI",$15.37 per hour,8/29/2022,12/10/2022,+12314686046,beth@arleneresourcemanagement.com,,Yes,16,"The nursery worker position includes duties associated with nursery crops. It includes adherence to instruction given in regard to proper procedures and techniques.  This work requires adherence to important food safety and quality standard operating procedures and the ability to work quickly and consistently alongside fellow workers with a positive, professional, team-based attitude and a consideration for the safety and health of fellow workers and the consumers who will purchase and consume the fresh produce grown, harvested, packed and shipped from the farm.  Workers will be required to follow all food safety guidelines.

Crops Contained in Request: Annuals, Perennials, Tree/Shrubs, Hops, Field Stock (Bare Root), Corn, Soybeans, Hay, Greens

Workers may perform the following job duties on any of the commodities listed above and various points during the duration of the contract.

Manual tasks related to the growing of nursery stock will include some combination of the following: preparing fields by clearing cull stock, brush, and debris; planting seedlings by hand, digging, loading, unloading, or transplanting bare-root nursery stock, straightening, tying, pruning, and shearing tree and shrubs, cutting, pulling or removing and mowing of weeds and grass. Workers will be involved in planting, tagging, labeling, applying container components such as hangers and handles, placing pots in trays to be filled. Workers will be setting down planted material, weeding all crops, building racks and pallets, and cleaning production area.

Workers will weed the organic corn and soybeans crop by hand as to not introduce any pesticides, herbicides or fungicides to the crop.  Workers may weed/clean field stock and field grown crops, cover greenhouses with poly, perform general maintenance on equipment and buildings, load crops.

Hay:  Moving and stacking hay. Worker must make sure that the surface of the cut fodder has dried. Using a side-delivery rake, the worker will then turn the windrows over allowing the hay to dry completely. The worker will inspect the hay for no other foliage. Dried hay may be stored in stacks or in bales. A truck or trailer will be driven between the windrows, and will be used to gather the fodder for stacking. The workers will fork the hay onto the trailer. Ropes should be laid on the trailer bed before any hay is loaded, in order to unload the hay quickly.

Greens (Collards, Turnip, Mustard): Workers will be assigned a row or series of rows and required to monitor the crop according to criteria outlined and demonstrated by managers such as size, coloring, and ripeness. They will be responsible for in-field grading and discarding of poor quality, rotting, and/or over-ripened produce. Workers will remove weeds manually either by hand or with a hoe. Workers will be required to stay on their assigned row. Workers must take care not to damage surrounding plants.

When the work noted above is not being performed, workers may clean break-rooms, lunch area, bathrooms, office space, property maintenance with weeding, mowing and trimming.",Yes,3,Employer may conduct drug testing post-employment and at the employer's expense.,40,7:00 A.M. - 3:00 P.M.
4,Farmworker; Fruit     ,"Cherry Bay Orchards, Inc.","Suttons bay, MI",$15.37 per hour,8/29/2022,10/29/2022,+12312718278,,https://seasonaljobs.dol.gov/,Yes,75,"Worker must possess the physical strength and endurance (ability to continue or last) to repeat the harvest process though out the workday, working quickly and skillfully to perform activities assigned during that activity. Workers must work at a sustained (continuing for an extended period of time without interruption), vigorous pace (quick and steady) and make bona fide efforts (made in earnest intent) to work efficiently (performing or functions in the best possible manner with the least waste of time and effort)  and consistently (same way for a long time) that are reasonable under the climatic and other working conditions, Workers may not leave trash, or other discarded items in work areas or vehicles but must dispose of such items in provided receptacles. Workers must wash hands with soap and water after all bathroom and meal breaks. Allergies to varieties of ragweed, goldenrod, insecticides, related agricultural chemicals, etc., may affect worker’s ability to perform the work described herein. 
Sanitation Requirements:  For food and general personal safety purposes, all workers will be required and expected to follow common sanitary practices at all times.  This is particularly critical when hand harvesting crops for human consumption.  Employees are required to cleanse their hands by washing them thoroughly with soap and water before and after using the bathroom and before entering the fields for harvest activities. All workers must report all injuries and illnesses to their employer, as well any communicable disease such as but not limited to diarrhea, or any other infectious disease or illness. Workers shall report immediately any cuts or abrasions that cause open bleeding. 
The following description of job activities applies to apples and cherries: Care must be taken at all times to ensure fruit is free of bruises and defects. 
Workers will perform various tasks involved in planting, cultivating, and harvesting fruit according to supervisor’s instructions.  Workers may till soil, plant stock, pick up rocks/roots/debris, and do pruning activities using a variety of non-mechanical tools. Workers will harvest fruit according to color, size and degree of maturity as specified by supervisor and place into half-bushel baskets taking the extra time, care, and effort not to bruise or scar the fruit.  Workers may windrow full containers or carry full containers weighing approximately 50 lbs. to truck or trailer and stack according to supervisor’s specifications.  Fruit thinners will thin fruit using hands to remove excess fruit, taking care to walk around entire tree before moving onto next. Workers will be required to stay on their assigned row.  
Work activities & rules include but are not limited to: 
•	The production and hand-harvesting of apples.
•	Site preparation work for all crops according to the employer's instructions.
•	Other specific work activities may include tree planting, picking up rocks/roots/debris, installation/maintenance of irrigation, pruning and training of vines and trees, machinery operation, hand harvest of apples and.  Worker may also be required to apply and work with crop protection materials under supervision with necessary training.   
•	Hand harvest apples will be placed into picking pail or bag that is strapped to shoulder.   Worker may be required to climb up to 16 ft ladders during pruning and harvest.  Workers must be willing to clean ground as well (also known as picking up apple drops).   Harvested fruit are to be handled carefully and workers must unload/deposit apples into 18-20 or 6-10-bushel boxes on orchard floor or on a trailer.  
•	Specific work rules and food safety rules will be provided at the time of employment and all work performed must be done in accordance to employer’s work rules and food safety program.
•	Work does not include non-agricultural work.  
.  ",Yes,3,All applicants must have at least 3 months verifiable experience and the completion of one apple production & harvesting season is required. Applicants must be able to furnish affirmative job references from recent employers operating comparable operations establishing acceptable previous experience. Must be physically able to meet and perform all job specifications stated in job order. Must be able to work in the hot humid weather for extended periods of time. Workers are subject to random drug testing at no cost to the employee. All drug testing will occur after the worker begins his or her employment and is not a part of the interview process. Failing or refusing a drug test will result in immediate termination.,40,8:00 A.M. - 4:00 P.M.
5,"Farmworkers and Laborers, Crops","Jay R. DeBadts and Sons Fruit Farms, LLC","Sodus, NY",$15.66 per hour,8/29/2022,11/15/2022,+13159684738,brandon.mallory@agri-placement.com,https://www.labor.ny.gov/home/,Yes,50,"APPLES Hand Harvest: Worker hand harvests apples to quality standards. Worker attaches picking bag around shoulder, without using straps on waist, and picks fruit while standing on ground and on ladder up to 15-feet for higher branches. Workers may not pick up fruit that has been in contact with the ground. Employer must approve picking bag modifications.
Worker picks according to grade, color and size by grasping fruit with hands and removing from tree in motion not to harm adjacent buds on tree branches. Worker carries harness, bucket or bag up to 50 lbs. and places fruit into 18-20 bushel wooden or plastic bins. Worker fills bin from all sides and does not allow fruit to roll in bin. Worker fills bin level with top on sides and crowns center.

Quality is essential. Employer harvests different apple varieties according to established company procedures based on end use and market demands. Worker must differentiate and selectively pick between colors to meet varying standards. Employer explains and demonstrates picking requirements as needed to ensure quality standards. Worker must exercise care at all times to prevent fruit bruising, stem pulls, punctures or other damage
or branch breaking. Bruising from harvest shall not exceed 1% (WNY) for fresh and 1% (WNY) for processing. Some workers may be required to examine harvested fruit in bins and sort out fruit not meeting grade, color and size specifications. Significant bruised, damaged or cull fruit may result in progressive disciplinary action as outlined in attached work rules. During special collection of drop apples and as an exception to the general application of GAP rules, workers may pick up by hand drop apples from the ground, place in 5 gallon buckets and dump the full buckets into the 18-20 bushel bins. Pay will be piece rate.

Raises and/or bonuses may be offered to any foreign or domestic seasonal worker employed pursuant to this job order, at the company's sole discretion, based on individual factors including performance, tenure, leadership, and driving. This is not promised or guaranteed. 

see Addendum C",Yes,3,"Job requires worker to complete tasks in general orchard labor and hand harvest of apples
Experience Requirement: 3 verifiable months recent apple hand harvest experience required (within past 5 years).
Season Commitment: Job offered requires worker be available for and worker agrees to work every day that work is available for entire employment period.
Worker must be able to perform job description duties in safe manner consistent with established safety procedures.
Drug testing not utilized as pre-employment tool. See work rule #5 for more information regarding post-employment drug testing.",40,8:00 A.M. - 4:00 P.M.
6,Farm Laborer," Ag Installers, Inc.","Thompson, IA",$16.19 per hour,8/29/2022,12/22/2022,+14802629702,ajovel@aginstallers.com,,Yes,12,"On farm, unload premanufactured aviary parts and components for aviary system that houses chickens for egg laying. Using impacts and scissor lifts, install manure drives, erect aviary frames, connect bridges for floor system.  By hand and with basic hand tools such as impacts, drills, hammers, and pliers, install bird floor meshes, feeding systems (troughs and chains), water lines with catch cups, perches, doors and ramps, lighting (installed but not connected).  These activities involve lifting and carrying, bending and stooping into the aviary system.  Install ventilation system including fans, stir fans, and tunnel doors by lifting them into the framed openings and fastening using impact and screws, hang heaters from ceiling using equipment to lift and chains to fasten to the ceiling, install external grain bins using forklift to lift each section into place and man in scissor lift for fastening, using proper safety gear.  Install feed lines that connect from the grain bins to the feed system in the aviary.",Yes,1,See Addendum C.,45,7:00 A.M. - 4:00 P.M.
7,Farmworkers Laborers & Crops ,WINDY HILL ORCHARD INC ,"CASTLETON, NY",$15.66 per hour,8/29/2022,11/11/2022,+15185066315,TODD@WINDYHILLORCHARDNY.COM,,Yes,3,"Manually plant, cultivate, & harvest fruits and vegetables such as apples, pumpkins & grapes. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, & knives. Duties include tilling soil & applying fertilizers and pesticides to crops; transplanting, weeding, thinning, & pruning crops. Construct trellises, repair fences & farm buildings. Set up & operate irrigation equipment.  Operate tractors, tractor-drawn machinery, and self-propelled machinery to plow, harrow & fertilize soil, or to plant, cultivate, spray, harvest & haul crops. Repair & maintain farm vehicles, implements & mechanical equipment.   Harvest fruits & vegetables by hand. Pick apples for fresh marketing & or processing. Employer will provide 4 days of training. A minimum productivity standard applies; 90 bu boxes of fresh market apples per day. All fruit to be handled with care to avoid bruising.  Fruit injured by bruising, not to exceed 4%. Worker must be physically able to pick tree fruit, most of which is done from ladders with lower branches being picked from the ground. Picked fruit is placed in a metal framed picking bucket with canvas straps that slip over the head and rest on the shoulders.   Filled bucket weighing up to 40 lbs is emptied into bulk bins with a capacity equal to 20 bushels boxes. Workers required to handle ladders up to 24' long and weighing about 2 lbs per foot. Inform farmers or farm manager of crop progress. Clear and maintain irrigation ditches.  Record information about crops, such as pesticides use, yields or costs. While working in the fields cell phones are limited to emergency use only. Employer may conduct/require random drug or alcohol tests at employer?s expense after hiring, for the safety of themselves and others as they will be operating machinery. Failure to comply with request or testing positive will result in termination. Must be physically able to lift up to 75 lbs on on a consistent basis throughout the day. Due to safety concerns on a farm, workers must understand basic instructions in English.   Workers referred as a result of this order must have a minimum of three months of verifiable experience in performing the tasks described in his order.",Yes,3,"The employer will provide 4 days of training to allow workers to pick a minimum of 90 bu boxes of apples per day with no more than 4% bruising.  

The employer will not guarantee to pay the workers a bonus but reserves the right, at the employers sole discretion, to offer a bonus or to pay an hourly wage rate in excess of the highest applicable rate stated above based on longevity of tenure or exceptional job performance.

The employer reserves the right, at the employers sole discretion, to temporarily raise the above listed piece rate due to  crop conditions. In the tasks where there is no prevailing practice to pay a piece rate, the employer, at his sole discretion, may opt to pay per hour to ensure a good quality product.
",54,8:00 A.M. - 5:00 P.M.
8,Orchard Laborer,Butler Farms,"Inwood, WV",$13.89 per hour,8/29/2022,10/21/2022,+13042297715,butlerfarmsinwood@gmail.com,,Yes,9,"This job requires 3 months experience working in an orchard picking tree fruit by hand. The main job task will be picking apples. Lower branches are picked from standing on the ground. Ladders up to 22 feet long and weighing up to 50 pounds are used to pick upper branches. Must be physically able to climb a ladder as well as move it throughout the orchard. Picked fruit will be placed in a molded-plastic canvas-covered picking bucket or another vessel. Buckets may weigh up to 60 pounds when full. All fruit must be handled with care to avoid bruising and damage. Good quality work is essential to produce a marketable product. Injured fruit must not be exceeding 2% as defined in the U.S. standards for grades. Must be physically able to lift 60 pounds. There may be exposure to pesticides, extreme temperatures, light rain, and allergens. Workers must be able to perform manual activities with accuracy and efficiency. Piece rate will be in effect for apple picking. Other tasks will be paid hourly. Orchard maintenance, such as trimming and pruning trees, may be done. Hand tools such as shovels, trowels, hoes, tampers, pruning hooks and shears may be used.",Yes,3,,35,7:00 A.M. - 2:00 P.M.
9,"Farmworkers & Laborers, Crop","Black Gold Farms, Inc","DELHI, LA",$12.45 per hour,8/29/2022,11/12/2022,+13188785806,Tammy.Johnston@blackgoldfarms.com,,Yes,290,"The job specifications involves general farm labor for the purpose of harvesting sweet potatoes. The sweet potatoes are harvested mechanically or by hand with the workers riding on a covered harvestor, removing vines, sorting, grading, and placing sweet potatoes on a conveyor. Sweet potato bins are filled and taken to storage. Work may also include arranging, sorting and transferring sweet potatoes from storage. Duties listed above may require work on Saturday and Sunday. Workers should also expect occasional periods of little or no work because of weather, crop, or other conditions beyond the employer's control. Workers must be able to stand for prolonged periods of time and work in extreme temperatures. Workers will be orientated and instructed on all aspects of safety. Repeated failure to obey safety requirements may result in termination. General farm work is included. All tools will be provided at not cost. ",No,,"The work requirements are for general farm labor for purpose of harvesting sweet potatoes. Sweet potatoes will be harvested  mechanically  with workers riding on a harvestor, removing vines, sorting, grading and placing sweet potatoes on a conveyor or if  unable to harvest mechanically workers will be harvesting by hand. Sweet potato bins are filled and taken to storage. Workers may also arrange, sort, and transfer sweet potatoes from storage. General farm work is included.  Work will be performed in various and at times extreme conditions such as heat, humidity, and rain. Repetitive movements, extensive pushing and pulling, extensive walking and frequent stooping will be required. All tools are provided at no cost.",40,7:00 A.M. - 4:00 P.M.
